"C_ID","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_MonthlyFamilyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_FirmSize","C_Industry","C_FinancialLiteracy","C_FinancialInstitution","C_PersonalFinancialAdvice","C_TotalVoluntarySuperContribution","App_Tenure","App_AverageDailySessionTime","App_FrequencyOfDecline","App_ContributionTriggerAmount","App_NumberoftimeContributionTriggerAmountChanged","App_RoundUpWholeAmount","App_ShowTutorial"
"f9dd64c5-8f0a-43a6-8c3e-0baa2f0dce10",31,"B","M",8585,21463,"N","S",2,"P","P","IMT","M","ANZ","N",0,16,37,"H",0,90,0,"N"
"dbd79021-6fbe-4d17-b441-6345fc3d60a7",20,"P","F",5326,10652,"Y","M",7,"C","M","CON","L","MTP","N",613,21,12,"H",10,46,1,"N"
"2cceb4b1-d540-4f40-878f-22637c29effb",27,"D","F",5640,12408,"N","S",2,"C","P","HOS","L","ING","N",324,12,30,"H",10,72,1,"N"
"50d3874a-dfbb-4e2d-b182-1bd14cb0c749",43,"D","M",15317,15317,"Y","S",1,"P","M","THR","H","IOOF","Y",766,14,56,"H",10,19,1,"N"
"dd96f7af-eae7-416c-ac73-b71e204deb33",34,"H","F",7815,19538,"N","M",1,"P","S","TNT","L","ING","N",899,15,28,"M",10,46,1,"N"
"bd989d7c-7ac1-4eba-b033-c757471e9810",20,"M","M",5568,5568,"N","S",1,"C","S","EGW","M","CUA","N",0,27,37,"H",10,74,0,"N"
"b41d850f-9761-4d77-bea3-c6dc17726b00",33,"H","M",6216,6216,"N","S",1,"C","M","HOS","M","CSP","N",622,14,33,"H",10,70,1,"N"
"7ac4102f-ebf3-4ed6-adbb-99e2e66fbcd4",48,"P","F",14343,14343,"Y","S",1,"P","M","FSS","M","CSE","Y",2869,17,49,"L",10,23,1,"Y"
"83e4103e-2e6e-49a8-a2aa-19866db4b454",49,"D","M",14366,14366,"Y","S",1,"P","S","IMT","M","CSP","N",2873,7,3,"L",10,100,1,"Y"
"52c87eac-8400-4cab-8a7e-bccad69dc373",38,"M","F",8384,8384,"N","S",1,"C","M","TNT","M","MBL","N",419,17,7,"H",50,5,5,"N"
"2669929a-6baf-4df5-b9cc-9d3e051cfe9a",60,"M","F",9985,9985,"Y","S",1,"C","M","THR","M","VFL","Y",1997,11,37,"H",10,88,1,"N"
"57263211-9181-436c-8156-58e9d337bd8b",23,"D","F",4914,10811,"N","O",7,"C","M","HAC","L","IOOF","N",246,10,23,"H",10,30,1,"N"
"2d225963-5963-4712-96cb-dae05ddd9232",39,"D","F",9725,9725,"N","S",1,"C","M","HAC","M","CBU","N",486,23,45,"H",10,82,1,"N"
"6102e4fa-8141-4cd9-af5c-c4fed8df3094",59,"M","M",10031,10031,"Y","S",1,"C","S","HAC","M","BBL","Y",2006,11,11,"L",10,61,1,"Y"
"7618fde9-c81c-4741-94dc-ecde79517efb",33,"M","M",8420,12630,"N","M",0,"C","S","TNT","M","RAMS","N",678,7,1,"H",10,87,1,"N"
"ac75f399-33ee-4ce0-8a08-e83e67ef92fd",34,"B","M",6737,6737,"N","S",1,"C","S","THR","L","AMEX","N",674,30,5,"H",10,10,1,"N"
"36c8242c-e413-461c-a784-7323744e677c",41,"H","M",11837,11837,"Y","O",4,"P","S","EDU","M","AMPS","Y",0,16,11,"H",0,76,0,"N"
"a8a25fdb-d77d-41e5-9a76-8c1024e0872c",23,"H","M",5057,5057,"N","O",5,"P","M","FSS","M","PSP","N",506,22,48,"H",10,54,1,"N"
"f6369c3c-53c0-43aa-a6be-8a68796d6e05",38,"H","F",9499,23748,"Y","M",5,"C","P","FSS","M","CMC","Y",1093,14,57,"M",10,61,1,"N"
"f6f43861-7911-430f-91c1-4abdd3a79305",51,"P","M",10381,10381,"Y","S",1,"C","S","THR","M","NAB","Y",2076,11,4,"L",10,64,1,"Y"
"bf12a6d4-4579-4367-a2e3-6649a1c221ec",49,"M","M",10612,10612,"Y","O",6,"P","S","WHT","H","CBA","Y",2122,7,5,"L",10,41,1,"Y"
"29e0831f-bf64-4361-aa07-5d1cf7c40929",57,"M","M",13106,23591,"N","M",8,"P","M","FSS","M","HAS","Y",4220,26,4,"L",10,71,1,"Y"
"2d2745b7-2c8d-4a1e-b38f-a6ad7428c3ef",40,"D","O",12934,12934,"Y","S",1,"C","M","AFF","M","PSP","Y",1647,28,38,"M",10,88,1,"N"
"c2445cbd-ae4b-42a8-90bf-3535d43bfcc7",45,"D","F",18370,45925,"Y","M",4,"P","M","IMT","L","FLY","Y",4225,27,21,"L",10,62,1,"Y"
"3270aad5-ba77-4360-9ad1-0a1af91e1e49",37,"P","F",8129,8129,"N","S",1,"C","M","HAC","M","CUA","N",406,16,28,"H",10,19,1,"N"
"c8b4869a-1862-4e7a-93b1-29efab900d09",36,"M","M",8031,8031,"N","S",1,"C","M","CON","L","CMC","N",803,10,24,"M",10,16,1,"N"
"6ba88e41-3dd1-4212-9991-6838d0de1dac",24,"B","M",5831,5831,"N","S",1,"P","P","WHT","L","MEB","N",0,14,38,"H",10,95,0,"N"
"9700ded1-3621-4121-8f2f-2b53d900cc23",34,"D","F",8559,21398,"N","S",0,"C","M","IMT","M","FMC","N",492,12,41,"H",10,33,1,"N"
"ee2e5079-27b3-4e1f-b5b0-15f20028aeee",48,"H","M",10753,26883,"N","O",6,"P","S","AFF","M","CSP","Y",0,23,13,"H",10,17,0,"N"
"40b4e6fe-4c4a-4704-9389-6014aa49e248",56,"M","M",16623,16623,"Y","S",1,"C","M","IMT","H","SUN","Y",3325,15,30,"L",10,54,1,"Y"
"bb81b9fb-41bc-4069-a4f4-941c6e623307",30,"B","F",9939,9939,"N","S",1,"P","M","HAC","H","AMPB","Y",994,6,32,"M",10,84,1,"N"
"699cf265-dce0-4953-9979-c1050b05d696",56,"M","M",14588,32094,"Y","M",1,"P","S","EGW","M","PSP","Y",4698,27,13,"L",10,68,1,"Y"
"de2bcf2d-434a-4161-9816-b4a9360ed8c6",40,"P","F",19297,19297,"N","S",1,"C","S","CON","H","BBL","Y",1930,17,0,"M",10,88,1,"N"
"41bdae9d-f7e2-4cb8-9267-a2661c007a37",23,"D","F",4067,8947,"N","S",3,"C","S","THR","L","ANZ","N",233,15,1,"H",10,84,1,"N"
"ff51ec90-0ca6-4da6-a9f7-1ef28eb03195",23,"B","M",4458,8916,"N","M",4,"C","M","EDU","L","FLY","N",513,7,1,"H",10,76,1,"N"
"801fe7d6-2ef0-4984-87e0-2cebe8e7a43f",24,"B","F",9314,23285,"N","O",8,"C","P","HAC","M","ANZ","Y",466,20,24,"H",10,29,1,"N"
"31f64239-765a-4400-8f07-0da4e4f7568c",57,"P","F",17132,30838,"Y","O",7,"P","S","IMT","H","ANZ","Y",3426,7,20,"L",10,13,1,"Y"
"f7a7bf21-ea25-469f-8648-f4e9996d4c38",59,"P","F",10798,10798,"Y","O",0,"P","S","HOS","M","MLC","Y",2160,4,57,"L",10,51,1,"Y"
"8472edc5-f2a6-49fc-b9a5-c724f7cb4770",37,"B","F",8117,20293,"N","O",4,"C","P","MAN","M","BOM","N",0,8,58,"H",10,9,0,"N"
"e97bf397-5614-4f86-9c9c-6caefb4b9b12",55,"H","M",12508,31270,"Y","O",0,"C","P","HOS","M","BQL","Y",3502,4,39,"L",10,99,1,"Y"
"bd868e43-8bd9-4633-85d1-e2246a8b0397",57,"D","M",12910,32275,"Y","M",8,"C","P","HOS","H","BTS","Y",4157,10,38,"L",10,9,1,"Y"
"26804c6e-0d28-44a0-b527-f54b163b0db6",60,"D","F",9771,9771,"N","S",1,"C","P","CON","M","CSE","Y",1954,18,48,"H",10,22,1,"N"
"c54e3492-9fe9-4ceb-a8e2-547afe4e6ee1",57,"B","M",12304,12304,"Y","O",2,"P","P","AFF","M","DBL","Y",2461,17,19,"L",10,12,1,"Y"
"e23fa67d-f671-4658-b666-e1914d4bef3a",52,"P","F",17750,44375,"N","O",6,"C","P","EDU","H","BTS","Y",3550,16,29,"L",10,70,1,"Y"
"9653417e-db46-4ed6-8ae6-eaed383ef62e",56,"M","M",15271,38178,"Y","M",1,"C","P","EGW","H","FLY","Y",3689,26,44,"L",10,41,1,"Y"
"55f5a09e-21f1-4834-ab08-c4bfec2c7458",21,"B","M",5721,12586,"N","S",5,"P","M","THR","L","UBS","N",460,2,7,"H",10,48,1,"N"
"57b7dbf2-8b7f-4a98-bb98-e4ebb6a797bf",44,"H","M",14464,14464,"Y","O",4,"C","M","FSS","M","HSB","Y",723,26,12,"H",10,50,1,"N"
"c09b83e2-f815-48d2-a6c9-f2fc5f991cdf",49,"M","F",17002,42505,"Y","M",0,"C","M","EDU","H","FLY","Y",3910,12,41,"L",10,34,1,"Y"
"4277895f-aed9-4d5a-9485-bbcac7fc3983",44,"D","M",15183,15183,"Y","O",2,"P","P","THR","H","WST","Y",759,5,12,"H",10,62,1,"N"
"22f7c816-03aa-4835-9772-dce834a78367",25,"B","F",4704,4704,"Y","S",1,"C","P","FSS","L","CBA","N",235,3,10,"H",10,38,1,"N"
"666df5e0-af18-410a-b8f6-9da98a0bc087",46,"H","M",15488,34074,"Y","M",1,"P","P","RET","H","AMPB","Y",4988,29,35,"L",10,37,1,"Y"
"148eda08-057c-4591-8e37-34cff34782e7",28,"B","O",7204,7204,"N","O",5,"C","S","WHT","L","PIB","N",360,20,28,"H",10,44,1,"N"
"39c49725-b408-4600-a9c5-bdc045498cbe",41,"P","M",19722,35500,"Y","M",6,"C","M","EDU","H","STG","Y",1587,21,48,"M",10,26,1,"N"
"f3ac79ad-2096-42b7-86ec-45a69c5e4589",38,"M","F",9314,23285,"Y","M",1,"C","M","HAC","M","MBL","Y",1071,6,13,"M",10,60,1,"N"
"d14fbc92-c912-4677-adfd-32f06450adb1",57,"M","F",15139,37848,"Y","O",4,"P","P","TNT","M","SUN","Y",3028,19,51,"L",10,58,1,"Y"
"d8509167-cc50-4e15-868a-49867be2d683",60,"H","F",14705,14705,"Y","S",1,"P","M","THR","M","BWA","Y",2941,16,4,"L",10,60,1,"Y"
"f7f6eb01-1dcf-41da-81ab-b45854e80096",39,"H","F",8318,8318,"N","O",5,"C","M","THR","M","UBS","N",832,18,21,"M",10,12,1,"N"
"0e016878-ffeb-49a9-8544-bfc54811ab49",41,"D","O",14840,14840,"N","O",4,"C","S","HOS","M","BBL","Y",742,28,23,"H",10,59,1,"N"
"e9267efc-b82e-4e80-be76-902ab7389133",50,"M","F",13547,13547,"Y","S",1,"P","S","THR","M","SUN","Y",2709,16,12,"L",10,55,1,"Y"
"f594e29b-1c9f-4c47-94db-f79914555901",21,"B","F",4537,9074,"N","O",6,"C","S","EGW","L","BSA","N",454,10,37,"H",10,17,1,"N"
"7cca425e-53fc-4e19-bec2-4daa92a64612",42,"P","F",18568,46420,"Y","M",3,"P","S","EDU","H","PIB","Y",1067,5,31,"M",10,10,1,"N"
"3e3051ef-cc8e-490d-98d2-21691d61614d",39,"B","M",8505,8505,"N","S",1,"C","S","AFF","M","CUA","N",425,23,9,"H",10,90,1,"N"
"01443d80-3176-4f30-a2a0-45a77472eb52",31,"M","M",15915,28647,"N","M",4,"C","P","THR","M","CBU","Y",796,11,5,"H",10,77,1,"N"
"5f69bab1-760b-4f9e-a6cb-8e9cbf8457ed",45,"H","F",13368,29410,"Y","O",1,"P","P","FSS","M","STG","Y",668,12,44,"H",10,56,1,"N"
"780cbff8-d75e-4056-92a3-048219bfe6cc",50,"P","F",10138,25345,"Y","M",7,"C","P","IMT","M","HPL","Y",2332,16,49,"L",10,61,1,"Y"
"e897b45a-1270-4c06-bbce-0d3a75a5974f",53,"B","M",19119,19119,"N","S",1,"C","M","HAC","H","HAS","Y",3824,17,55,"L",10,16,1,"Y"
"c5ecf456-64c3-4c77-a206-87f0186c24f4",21,"P","F",5295,5295,"N","S",1,"C","M","TNT","L","NAB","N",0,30,33,"H",10,23,0,"N"
"af4753dc-9733-4d06-b28b-acf41a112d09",37,"B","F",6396,6396,"N","S",1,"P","P","THR","M","VFL","N",640,26,19,"H",50,18,1,"N"
"5d1a952d-34be-423c-99c3-aa22a07fddbd",50,"B","F",13235,29117,"Y","M",8,"C","P","TNT","M","WBC","Y",3044,14,41,"L",10,31,1,"Y"
"deb8327f-ff32-41de-930d-ba7439608998",49,"B","F",19670,19670,"N","S",1,"C","M","EDU","H","FLY","Y",3934,21,16,"L",10,42,1,"Y"
"f631b7e5-04d2-4673-b9d1-35b95577b2d5",45,"M","M",17648,44120,"N","M",2,"P","S","WHT","H","CTI","Y",4060,21,38,"L",10,52,1,"Y"
"7b99aca4-613f-402b-8e3f-b51467852830",28,"B","M",5450,8175,"N","S",2,"C","S","RET","L","CSP","N",440,21,3,"H",10,81,1,"N"
"80de5b29-1c31-492a-91cf-4c50054b3a96",54,"M","F",17913,44783,"Y","O",6,"P","S","FSS","H","AMPB","N",3583,13,49,"L",10,75,1,"Y"
"3b7fc4d0-e22e-4239-9559-5fc345d96314",20,"B","O",5236,5236,"N","S",1,"C","S","WHT","L","CSP","N",262,17,43,"H",10,6,1,"N"
"46cd9529-9275-49d0-9039-9673545831da",30,"B","M",6811,14984,"N","S",3,"P","S","HOS","L","CSE","N",0,2,4,"H",10,59,0,"N"
"844ff76d-63e5-41a0-80a1-d54de0771a1e",48,"D","F",11176,27940,"Y","M",8,"C","P","IMT","M","AMPB","Y",2570,24,19,"L",10,19,1,"Y"
"237dc61c-e8e9-4e59-b6c4-f4c0253d89f2",44,"D","F",7217,7217,"Y","S",1,"C","S","TNT","L","HAS","Y",361,15,46,"H",10,45,1,"N"
"1bf305da-ebbb-4f85-a5b2-d02c5e8a8333",53,"D","F",7353,16177,"Y","M",8,"C","S","CON","L","BTS","Y",1692,13,38,"M",10,23,1,"N"
"fd4e195f-3dd8-41d6-8df9-2c095df3f492",25,"B","M",5026,10052,"Y","M",5,"P","P","CON","L","WST","N",578,13,1,"H",10,12,1,"N"
"176f4a22-c647-4aec-840f-5a1795c658cc",45,"H","F",11927,11927,"Y","S",1,"C","M","IMT","M","MEB","N",0,29,30,"H",0,25,0,"N"
"58a49181-195a-461a-ad48-7ed5e65c819e",53,"M","M",16520,36344,"Y","M",6,"P","S","WHT","H","ING","Y",5319,14,43,"L",10,58,1,"Y"
"0a76ad90-9759-4525-ba09-1f8b5d3aeeb3",21,"B","M",9859,21690,"N","S",7,"C","P","FSS","M","AMPS","N",0,28,1,"H",0,63,0,"N"
"6473690c-04c8-4c45-b7d1-238966aed764",52,"P","F",19932,43850,"Y","M",5,"C","S","WHT","H","FMC","Y",4584,18,41,"L",10,49,1,"Y"
"58d08bfc-abce-4903-a2cd-a0aa0b2cc6c5",47,"D","F",14794,32547,"Y","M",0,"C","P","IMT","M","CSP","Y",3403,13,15,"L",10,34,1,"Y"
"ad0528d4-56f9-4b3f-b1dc-fd9531d3773b",38,"B","F",9455,9455,"N","S",1,"P","M","RET","M","BSA","Y",946,27,21,"M",10,61,1,"N"
"58b4b28d-888c-4d43-9b4b-5e0b6214e7e0",60,"B","M",14105,14105,"Y","O",0,"P","M","MAN","M","SUN","Y",2821,9,43,"L",10,23,1,"Y"
"bf59c12a-c202-4725-a894-97f6c3b3f03c",41,"B","M",14786,14786,"Y","S",1,"C","P","THR","H","VFL","Y",2957,26,42,"L",10,27,1,"Y"
"6d91b80c-4e76-4c5d-abb4-763a14a0f686",39,"D","M",7685,11528,"N","M",1,"P","M","EGW","L","SUN","N",618,22,47,"H",10,2,1,"N"
"9f22bc45-e5e5-4a8b-b895-9a30f111cbb4",39,"B","F",6532,13064,"N","S",6,"P","P","WHT","L","WST","N",376,20,13,"H",10,56,1,"N"
"5cda8756-ce9c-43fd-b6b6-a1baab0b70cf",47,"P","F",10014,22031,"Y","M",8,"C","P","AFF","M","BOM","Y",2303,18,57,"L",10,41,1,"Y"
"c07b9766-4d33-448c-a35f-c79ed48c2fc1",48,"M","M",10607,10607,"Y","O",8,"C","S","WHT","M","MTP","Y",2121,24,11,"L",10,14,1,"Y"
